A	a
AGASALHO	a g a z a L u
AGASTAR	a g a s t a X
AGEMADO	a Z e m a d u
AGENCIAR	a Z e~ s i a X
AGENDA	a Z e~ d a
AGENDAR	a Z e~ d a X
AGENTE	a Z e~ tS i
AGIGANTAR	a Z i g a~ t a X
AGILIDADE	a Z i l i d a dZ i
AGILIZAR	a Z i l i z a X
AGIOTA	a Z i O t a
AGIOTAGEM	a Z i o t a Z e~j~
AGIOTAR	a Z i o t a X
AGIR	a Z i X
AGITABILIDADE	a Z i t a b i l i d a dZ i
AGITADIÇO	a Z i t a dZ i s u
AGITADOR	a Z i t a d o X
AGITANTE	a Z i t a~ tS i
AGITAR	a Z i t a X
AGLOMERADA	a g l o m e r a d a
AGLOMERADO	a g l o m e r a d u
AGLOMERAR	a g l o m e r a X
AGLUTINANTE	a g l u tS i~ n a~ tS i
AGLUTINAR	a g l u tS i~ n a X
AGLUTINATIVO	a g l u tS i~ n a tS i v u
AGLUTINAÇÃO	a g l u tS i~ n a s a~ w~
AGNOSTICISMO	a g n o s tS i s i z m u
AGNÓSTICO	a g n O s tS i k u
AGOIRAR	a g o j r a X
AGOIREIRO	a g o j r ej r u
AGOIRENTO	a g o j r e~ t u
AGOIRO	a g o j r u
AGONIA	a g o n i a
AGONIANTE	a g o n i a~ tS i
AGONIAR	a g o n i a X
AGONIZANTE	a g o n i z a~ tS i
AGONIZAR	a g o n i z a X
AGONÍSTICA	a g o n i s tS i k a
AGORA	a g O r a
AGORAFOBIA	a g o r a f o b i a
AGORINHA	a g o r i~ J a
AGOSTEIRO	a g o s t ej r u
AGOSTINIANO	a g o s tS i~ n i a~ n u
AGOURAR	a g ow r a X
AGOUREIRO	a g ow r ej r u
AGOURENTAR	a g ow r e~ t a X
AGOURENTO	a g ow r e~ t u
AGOURO	a g ow r u
AGRACIAR	a g r a s i a X
AGRADAR	a g r a d a X
AGRADECER	a g r a d e s e X
AGRADECIDO	a g r a d e s i d u
AGRADO	a g r a d u
AGRADÁVEL	a g r a d a v e w
AGRAFADOR	a g r a f a d o X
AGRAFAR	a g r a f a X
AGRAFIA	a g r a f i a
AGRAFO	a g r a f u
AGRAVANTE	a g r a v a~ tS i
AGRAVAR	a g r a v a X
AGRAVATIVO	a g r a v a tS i v u
AGRAVATÓRIO	a g r a v a t O r i u
AGRAVO	a g r a v u
AGRE	a g r i
AGREDIR	a g r e dZ i X
AGREGADO	a g r e g a d u
AGREGAR	a g r e g a X
AGREGATIVO	a g r e g a tS i v u
AGREMIAÇÃO	a g r e m i a s a~ w~
AGRESSIVO	a g r e s i v u
AGRESSOR	a g r e s o X
AGRESSÃO	a g r e s a~ w~
AGRESTE	a g r E s tS i
AGRIAL	a g r i a w
AGRICULTAR	a g r i k u w t a X
AGRICULTURA	a g r i k u w t u r a
AGRIDOCE	a g r i d o s i
AGRILHOAR	a g r i L o a X
AGRIMENSAR	a g r i~ m e~ s a X
AGRIMENSOR	a g r i~ m e~ s o X
AGRIMENSURA	a g r i~ m e~ s u r a
AGRIMENSÃO	a g r i~ m e~ s a~ w~
AGRISALHAR	a g r i z a L a X
AGRIÃO	a g r i a~ w~
AGRO	a g r u
AGROGRAFIA	a g r o g r a f i a
AGROLOGIA	a g r o l o Z i a
AGROMANIA	a g r o m a n i a
AGRONOMIA	a g r o n o m i a
AGROPECUÁRIA	a g r o p e k u a r i a
AGROPECUÁRIO	a g r o p e k u a r i u
AGROR	a g r o X
AGROSSEIRADO	a g r o s e j r a d u
AGRUPAR	a g r u p a X
AGRURA	a g r u r a
AGRÁRIO	a g r a r i u
AGRÔNOMO	a g r o n o m u
AGUACEIRO	a g u a s ej r u
AGUADA	a g u a d a
AGUAR	a g u a X
AGUARDAR	a g u a R d a X
AGUARDENTE	a g u a R d e~ tS i
AGUARDENTEIRO	a g u a R d e~ t ej r u
AGUARDENTOSO	a g u a R d e~ t o z u
AGUARELA	a g u a r E l a
AGUARELAR	a g u a r e l a X
AGUARELISTA	a g u a r e l i s t a
AGUARRÁS	a g u a R a js
AGUAÇA	a g u a s a
AGUAÇAL	a g u a s a w
AGUDEZ	a g u d e js
AGUDEZA	a g u d e z a
AGUDIZAR	a g u dZ i z a X
AGUDO	a g u d u
AGUENTAR	a g e~ t a X
AGUERRIDO	a g e R i d u
AGUERRILHAR	a g e R i L a X
AGUERRIR	a g e R i X
AGUILHAR	a g i L a X
AGUILHOADA	a g i L o a d a
AGUILHOADELA	a g i L o a d E l a
AGUILHOAR	a g i L o a X
AGUILHÃO	a g i L a~ w~
AGUISAR	a g i z a X
AGUITARRAR	a g i t a R a X
AGULHA	a g u L a
AGULHADA	a g u L a d a
AGULHAGEM	a g u L a Z e~j~
AGULHAR	a g u L a X
AGULHEADO	a g u L e a d u
AGULHEIRO	a g u L ej r u
AGULHETA	a g u L e t a
AGUÇA	a g u s a
AGUÇADEIRA	a g u s a d ej r a
AGUÇADOR	a g u s a d o X
AGUÇADURA	a g u s a d u r a
AGUÇAR	a g u s a X
AGUÇO	a g u s u
AGÊNCIA	a Z e~ s i a
AH	a
AI	a j
AINDA	a i~ d a
AIPO	a j p u
AIROSO	a j r o z u
AJANOTAR	a Z a n o t a X
AJANTARADO	a Z a~ t a r a d u
AJARDINAR	a Z a R dZ i~ n a X
AJAULADO	a Z a u l a d u
AJEITAR	a Z e j t a X
AJOELHAR	a Z o e L a X
AJORNALAR	a Z o R n a l a X
AJOUJAR	a Z ow Z a X
AJOUJO	a Z ow Z u
AJUDA	a Z u d a
AJUDADA	a Z u d a d a
AJUDANTE	a Z u d a~ tS i
AJUDAR	a Z u d a X
AJUIZAR	a Z u i z a X
AJUMENTADO	a Z u~ m e~ t a d u
AJUNTA	a Z u~ t a
AJUNTADOR	a Z u~ t a d o X
AJUNTADOURO	a Z u~ t a d ow r u
AJUNTAR	a Z u~ t a X
AJURAMENTAR	a Z u r a m e~ t a X
AJUSTADOR	a Z u s t a d o X
AJUSTAR	a Z u s t a X
AJUSTE	a Z u s tS i
AJUSTIÇAR	a Z u s tS i s a X
ALA	a l a
ALABASTRO	a l a b a s t r u
ALACAIAR	a l a k a j a X
ALACRIDADE	a l a k r i d a dZ i
ALAGADIÇO	a l a g a dZ i s u
ALAGAR	a l a g a X
ALAGARTADO	a l a g a X t a d u
ALAMBIQUE	a l a~ b i k i
ALAMEDA	a l a m e d a
ALANINA	a l a n i~ n a
ALAPAR	a l a p a X
ALAR	a l a X
ALARANJAR	a l a r a~ Z a X
ALARDE	a l a R dZ i
ALARDEAR	a l a R d e a X
ALARDO	a l a R d u
ALARGAR	a l a R g a X
ALARIDO	a l a r i d u
ALARMA	a l a R m a
ALARMANTE	a l a R m a~ tS i
ALARMAR	a l a R m a X
ALARME	a l a R m i
ALARVADO	a l a R v a d u
ALARVE	a l a R v i
ALASTRADEIRA	a l a s t r a d ej r a
ALASTRAR	a l a s t r a X
ALAVANCA	a l a v a~ k a
ALAÚDE	a l a u dZ i
ALBA	a w b a
ALBANO	a w b a~ n u
ALBANÊS	a w b a n e js
ALBARDA	a w b a R d a
ALBARDAR	a w b a R d a X
ALBARDEIRO	a w b a R d ej r u
ALBATROZ	a w b a t r O js
ALBEDO	a w b e d u
ALBERGAR	a w b e R g a X
ALBERGARIA	a w b e R g a r i a
ALBERGUE	a w b E R g i
ALBERGUEIRO	a w b e R g ej r u
ALBICASTRENSE	a w b i k a s t r e~ s i
ALBINISMO	a w b i~ n i z m u
ALBINO	a w b i~ n u
ALBUFEIRA	a w b u f ej r a
ALBUFEIRAR	a w b u f e j r a X
ALBUGÍNEA	a w b u Z i n e a
ALBUMINA	a w b u~ m i~ n a
ALBUMINAR	a w b u~ m i~ n a X
ALBUMINOSO	a w b u~ m i~ n o z u
ALBÚMEN	a w b u m e~
ALCACHOFRA	a w k a S o f r a
ALCAIDE	a w k a j dZ i
ALCAIOTAR	a w k a j o t a X
ALCALINIZAR	a w k a l i~ n i z a X
ALCALINO	a w k a l i~ n u
ALCANCE	a w k a~ s i
ALCANTIL	a w k a~ tS i w
ALCANTILADO	a w k a~ tS i l a d u
ALCANÇAR	a w k a~ s a X
ALCANÇO	a w k a~ s u
ALCATEIA	a w k a t E j a
ALCATIFAR	a w k a tS i f a X
ALCATRAZ	a w k a t r a js
ALCATROAR	a w k a t r o a X
ALCATRÃO	a w k a t r a~ w~
ALCE	a w s i
ALCOBACENSE	a w k o b a s e~ s i
ALCOFA	a w k o f a
ALCOFAR	a w k o f a X
ALCOOLEMIA	a w k o o l e m i a
ALCOOLIFICAR	a w k o o l i f i k a X
ALCOOLISMO	a w k o o l i z m u
ALCOOLIZAR	a w k o o l i z a X
ALCOOLOMETRIA	a w k o o l o m e t r i a
ALCOOLÔMETRO	a w k o o l o m e t r u
ALCORÂNICO	a w k o r a~ n i k u
ALCOVA	a w k O v a
ALCOVITEIRO	a w k o v i t ej r u
ALCOÓLICO	a w k o O l i k u
ALCUNHA	a w k u~ J a
ALCUNHAR	a w k u~ J a X
ALCUNHO	a w k u~ J u
ALCÁCER	a w k a s e X
ALCÁÇOVA	a w k a s o v a
ALDEAMENTO	a w d e a m e~ t u
ALDEIA	a w d ej a
ALDEOLA	a w d e O l a
ALDEOTA	a w d e O t a
ALDEÃO	a w d e a~ w~
ALDEÍDO	a w d e i d u
ALDRABADA	a w d r a b a d a
ALDRABAR	a w d r a b a X
ALDRABEIRO	a w d r a b ej r u
ALDRABICE	a w d r a b i s i
ALDRABÃO	a w d r a b a~ w~
ALEATÓRIO	a l e a t O r i u
ALECRIM	a l e k r i~
ALEGADO	a l e g a d u
ALEGANTE	a l e g a~ tS i
ALEGAR	a l e g a X
ALEGORIA	a l e g o r i a
ALEGORIZAR	a l e g o r i z a X
ALEGRAR	a l e g r a X
ALEGRE	a l E g r i
ALEGRENSE	a l e g r e~ s i
ALEGRIA	a l e g r i a
ALEGRO	a l E g r u
ALEGROTE	a l e g r O tS i
ALEGRÃO	a l e g r a~ w~
ALEGÓRICO	a l e g O r i k u
ALEIJAR	a l e j Z a X
ALEITAR	a l e j t a X
ALELUIA	a l e l u i a
ALEMÂNICO	a l e m a~ n i k u
ALEMÃO	a l e m a~ w~
ALENTAR	a l e~ t a X
ALENTEJANO	a l e~ t e Z a~ n u
ALENTO	a l e~ t u
ALERGIA	a l e R Z i a
ALERTA	a l E X t a
ALERTAR	a l e X t a X
ALESMAR	a l e z m a X
ALETRIA	a l e t r i a
ALEVANTAR	a l e v a~ t a X
ALEVANTE	a l e v a~ tS i
ALEXANDRINO	a l e S a~ d r i~ n u
ALEXIA	a l e k s i a
ALEXÍACO	a l e k s i a k u
ALFA	a w f a
ALFABETAR	a w f a b e t a X
ALFABETISMO	a w f a b e tS i z m u
ALFABETIZAR	a w f a b e tS i z a X
ALFABETO	a w f a b E t u
ALFABETÁRIO	a w f a b e t a r i u
ALFABÉTICO	a w f a b E tS i k u
ALFACE	a w f a s i
ALFACINHA	a w f a s i~ J a
ALFAIA	a w f a j a
ALFAIAR	a w f a j a X
ALFAIATAR	a w f a j a t a X
ALFAIATARIA	a w f a j a t a r i a
ALFAIATE	a w f a j a tS i
ALFAMA	a w f a~ m a
ALFAMENSE	a w f a m e~ s i
ALFANDEGAR	a w f a~ d e g a X
ALFANDEGÁRIO	a w f a~ d e g a r i u
ALFANUMÉRICO	a w f a n u~ m E r i k u
ALFARRABISTA	a w f a R a b i s t a
ALFARROBA	a w f a R o b a
ALFARROBAL	a w f a R o b a w
ALFARROBAR	a w f a R o b a X
ALFARROBEIRA	a w f a R o b ej r a
ALFARRÁBIO	a w f a R a b i u
ALFAZEMA	a w f a z e~ m a
ALFAZEMAR	a w f a z e m a X
ALFENA	a w f e~ n a
ALFERES	a w f E r i s
ALFINETADA	a w f i~ n e t a d a
ALFINETAR	a w f i~ n e t a X
ALFINETE	a w f i~ n e tS i
ALFINETEIRA	a w f i~ n e t ej r a
ALFORGE	a w f O R Z i
ALFORJADA	a w f o R Z a d a
ALFORJAR	a w f o R Z a X
ALFORRAR	a w f o R a X
ALFORRECA	a w f o R E k a
ALFÂNDEGA	a w f a~ d e g a
ALGA	a w g a
ALGALIAR	a w g a l i a X
ALGARAVIADA	a w g a r a v i a d a
ALGARISMO	a w g a r i z m u
ALGARVIO	a w g a R v i u
ALGAZARRA	a w g a z a R a
ALGAZARRAR	a w g a z a R a X
ALGEBRICAMENTE	a w Z E b r i k a m e~ tS i
ALGEBRIZAR	a w Z e b r i z a X
ALGEMA	a w Z e~ m a
ALGEMAR	a w Z e m a X
ALGIBEIRA	a w Z i b ej r a
ALGO	a w g u
ALGODÃO	a w g o d a~ w~
ALGORITMIA	a w g o r i tS m i a
ALGORITMO	a w g o r i tS m u
ALGORÍTMICO	a w g o r i tS m i k u
ALGOZ	a w g O js
ALGUIDAR	a w g i d a X
ALGUM	a w g u~
ALGURES	a w g u r i s
ALGUÉM	a w g e~j~
ALGÁLIA	a w g a l i a
ALGÉBRICO	a w Z E b r i k u
ALHADA	a L a d a
ALHEAMENTO	a L e a m e~ t u
ALHEAR	a L e a X
ALHEIO	a L ej u
ALHEIRA	a L ej r a
ALHEIRO	a L ej r u
ALHEÁVEL	a L e a v e w
ALHO	a L u
ALI	a l i
ALIANÇA	a l i a~ s a
ALIAR	a l i a X
ALIBILIDADE	a l i b i l i d a dZ i
ALICATE	a l i k a tS i
ALICERCE	a l i s E X s i
ALICERÇAR	a l i s e X s a X
ALICIADOR	a l i s i a d o X
ALICIANTE	a l i s i a~ tS i
ALICIAR	a l i s i a X
ALIENABILIDADE	a l i e n a b i l i d a dZ i
ALIENANTE	a l i e n a~ tS i
ALIENAR	a l i e n a X
ALIENATÁRIO	a l i e n a t a r i u
ALIENATÓRIO	a l i e n a t O r i u
ALIENISMO	a l i e n i z m u
ALIENISTA	a l i e n i s t a
ALIENÍGENA	a l i e n i Z e n a
ALIGEIRAR	a l i Z e j r a X
ALIJAR	a l i Z a X
ALIMENTADOR	a l i~ m e~ t a d o X
ALIMENTAR	a l i~ m e~ t a X
ALIMENTIVIDADE	a l i~ m e~ tS i v i d a dZ i
ALIMENTO	a l i~ m e~ t u
ALIMENTOSO	a l i~ m e~ t o z u
ALIMENTÍCIO	a l i~ m e~ tS i s i u
ALIMPAR	a l i~ p a X
ALINDAR	a l i~ d a X
ALINHAR	a l i~ J a X
ALINHAVAR	a l i~ J a v a X
ALINHAVO	a l i~ J a v u
ALISAR	a l i z a X
ALISTAR	a l i s t a X
ALIVIAR	a l i v i a X
ALIÁS	a l i a js
ALJOFRAR	a w Z o f r a X
ALJUBARROTENSE	a w Z u b a R o t e~ s i
ALMA	a w m a
ALMANAQUE	a w m a n a k i
ALMAÇO	a w m a s u
ALMEJANTE	a w m e Z a~ tS i
ALMEJAR	a w m e Z a X
ALMEJO	a w m e Z u
ALMINHAS	a w m i~ J a js
ALMIRANTA	a w m i r a~ t a
ALMIRANTADO	a w m i r a~ t a d u
ALMIRANTE	a w m i r a~ tS i
ALMISCARAR	a w m i s k a r a X
ALMISCAREIRO	a w m i s k a r ej r u
ALMOCREVAR	a w m o k r e v a X
ALMOCREVE	a w m o k r E v i
ALMOFADA	a w m o f a d a
ALMOFADAR	a w m o f a d a X
ALMOFADILHA	a w m o f a dZ i L a
ALMOFADÃO	a w m o f a d a~ w~
ALMOFARIZ	a w m o f a r i js
ALMOÇAR	a w m o s a X
ALMOÇO	a w m o s u
ALMUDE	a w m u dZ i
ALMÍSCAR	a w m i s k a X
ALMÔNDEGA	a w m o~ d e g a
ALOCAR	a l o k a X
ALOCUÇÃO	a l o k u s a~ w~
ALOGAMIA	a l o g a m i a
ALOJAR	a l o Z a X
ALOJO	a l O Z u
ALOMBAR	a l o~ b a X
ALONGAR	a l o~ g a X
ALOUCAR	a l ow k a X
ALOURAR	a l ow r a X
ALOUSAR	a l ow z a X
ALPACA	a w p a k a
ALPARCA	a w p a X k a
ALPENDRADO	a w p e~ d r a d u
ALPENDRAR	a w p e~ d r a X
ALPENDRE	a w p e~ d r i
ALPERCE	a w p E X s i
ALPESTRE	a w p E s t r i
ALPINISMO	a w p i~ n i z m u
ALPINISTA	a w p i~ n i s t a
ALPINO	a w p i~ n u
ALPISTA	a w p i s t a
ALPISTE	a w p i s tS i
ALPISTEIRO	a w p i s t ej r u
ALQUEIRAR	a w k e j r a X
ALQUEIRE	a w k ej r i
ALQUEIRÃO	a w k e j r a~ w~
ALQUIMIA	a w k i~ m i a
ALQUIMIAR	a w k i~ m i a X
ALQUÍMICO	a w k i m i k u
ALSACIANO	a w s a s i a~ n u
ALTA	a w t a
ALTAR	a w t a X
ALTER	a w t e X
ALTERABILIDADE	a w t e r a b i l i d a dZ i
ALTERADOR	a w t e r a d o X
ALTERANTE	a w t e r a~ tS i
ALTERAR	a w t e r a X
ALTERAÇÃO	a w t e r a s a~ w~
ALTERNA	a w t E R n a
ALTERNADO	a w t e R n a d u
ALTERNADOR	a w t e R n a d o X
ALTERNANTE	a w t e R n a~ tS i
ALTERNAR	a w t e R n a X
ALTERNATIVA	a w t e R n a tS i v a
ALTERNATIVO	a w t e R n a tS i v u
ALTERNO	a w t E R n u
ALTERNÂNCIA	a w t e R n a~ s i a
ALTEROSO	a w t e r o z u
ALTERÁVEL	a w t e r a v e w
ALTEZA	a w t e z a
ALTIFALANTE	a w tS i f a l a~ tS i
ALTIPLANO	a w tS i p l a~ n u
ALTISTA	a w tS i s t a
ALTITUDE	a w tS i t u dZ i
ALTIVEZ	a w tS i v e js
ALTIVO	a w tS i v u
ALTO	a w t u
ALTOS	a w t u s
ALTRUÍSMO	a w t r u i z m u
ALTRUÍSTA	a w t r u i s t a
ALTRUÍSTICO	a w t r u i s tS i k u
ALTURA	a w t u r a
ALTÍMETRO	a w tS i m e t r u
ALUADAMENTE	a l u a d a m e~ tS i
ALUAR	a l u a X
ALUCINANTE	a l u s i~ n a~ tS i
ALUCINAR	a l u s i~ n a X
ALUCINATÓRIO	a l u s i~ n a t O r i u
ALUCINOGÉNO	a l u s i~ n o Z E n u
ALUDIR	a l u dZ i X
ALUGADOR	a l u g a d o X
ALUGAR	a l u g a X
ALUGUER	a l u g e X
ALUIR	a l u i X
ALUMIAR	a l u~ m i a X
ALUMINATO	a l u~ m i~ n a t u
ALUMÍNIO	a l u~ m i n i u
ALUNAGEM	a l u~ n a Z e~j~
ALUNAR	a l u~ n a X
ALUNO	a l u~ n u
ALUSIVO	a l u z i v u
ALUSÃO	a l u z a~ w~
ALUVIAL	a l u v i a w
ALUVIAR	a l u v i a X
ALUVIONAR	a l u v i o n a X
ALUVIÃO	a l u v i a~ w~
ALVA	a w v a
ALVARES	a w v a r i s
ALVARINHO	a w v a r i~ J u
ALVARÁ	a w v a r a
ALVEJANTE	a w v e Z a~ tS i
ALVEJAR	a w v e Z a X
ALVENARIA	a w v e n a r i a
ALVEOLAR	a w v e o l a X
ALVISSARAR	a w v i s a r a X
ALVITRAR	a w v i t r a X
ALVO	a w v u
ALVOR	a w v o X
ALVORADA	a w v o r a d a
ALVORAR	a w v o r a X
ALVORAÇAR	a w v o r a s a X
ALVORECER	a w v o r e s e X
ALVOREDO	a w v o r e d u
ALVOROÇANTE	a w v o r o s a~ tS i
ALVOROÇAR	a w v o r o s a X
ALVOROÇO	a w v o r o s u
ALVURA	a w v u r a
ALVÉOLA	a w v E o l a
ALVÉOLO	a w v E o l u
ALVÍSSARAS	a w v i s a r a js
ALÇA	a w s a
ALÇADA	a w s a d a
ALÇADEIRA	a w s a d ej r a
ALÇADURA	a w s a d u r a
ALÇAPÃO	a w s a p a~ w~
ALÇAR	a w s a X
ALÉM	a l e~j~
ALÉRGICO	a l E R Z i k u
ALÉXICO	a l E k s i k u
ALÍNEA	a l i n e a
ALÍSIO	a l i z i u
ALÍVIO	a l i v i u
ALÔ	a l o
AMA	a~ m a
AMABILIDADE	a m a b i l i d a dZ i
AMACACAR	a m a k a k a X
AMACHUCADELA	a m a S u k a d E l a
AMACHUCAR	a m a S u k a X
AMACIAR	a m a s i a X
AMADOR	a m a d o X
AMADORENSE	a m a d o r e~ s i
AMADORISMO	a m a d o r i z m u
AMADRINHAR	a m a d r i~ J a X
AMADURECER	a m a d u r e s e X
AMAINAR	a m a i~ n a X
AMALANDRAR	a m a l a~ d r a X
AMALDIÇOAR	a m a w dZ i s o a X
AMALGAMAR	a m a w g a m a X
AMALGAMENTO	a m a w g a m e~ t u
AMALUCAR	a m a l u k a X
AMAMENTAR	a m a m e~ t a X
AMANCEBADO	a m a~ s e b a d u
AMANHAR	a m a J a X
AMANHECER	a m a J e s e X
AMANHECIDA	a m a J e s i d a
AMANHO	a m a~ J u
AMANHÃ	a m a J a~
AMANSAR	a m a~ s a X
AMANSIA	a m a~ s i a
AMANTE	a m a~ tS i
AMANTEIGADO	a m a~ t e j g a d u
AMAR	a m a X
AMARAGEM	a m a r a Z e~j~
AMARAR	a m a r a X
AMARELA	a m a r E l a
AMARELADO	a m a r e l a d u
AMARELAR	a m a r e l a X
AMARELECER	a m a r e l e s e X
AMARELO	a m a r E l u
AMARFANHAR	a m a X f a J a X
AMARGAR	a m a R g a X
AMARGO	a m a R g u
AMARGOR	a m a R g o X
AMARGURA	a m a R g u r a
AMARGURADAMENTE	a m a R g u r a d a m e~ tS i
AMARGURAR	a m a R g u r a X
AMARICAR	a m a r i k a X
AMAROTADO	a m a r o t a d u
AMARRA	a m a R a
AMARRADOR	a m a R a d o X
AMARRADURA	a m a R a d u r a
AMARRAR	a m a R a X
AMARROTAR	a m a R o t a X
AMARTELAR	a m a X t e l a X
AMARUJAR	a m a r u Z a X
AMASSADEIRA	a m a s a d ej r a
AMASSADELA	a m a s a d E l a
AMASSADURA	a m a s a d u r a
AMASSAR	a m a s a X
AMATÓRIO	a m a t O r i u
AMAZELAR	a m a z e l a X
AMAZONA	a m a z o~ n a
AMAZONENSE	a m a z o n e~ s i
AMAZÔNICO	a m a z o n i k u
AMBAS	a~ b a js
AMBICIONAR	a~ b i s i o n a X
AMBICIOSO	a~ b i s i o z u
AMBIDEXTRO	a~ b i d E s t r u
AMBIENTAL	a~ b i e~ t a w
AMBIENTAR	a~ b i e~ t a X
AMBIENTE	a~ b i e~ tS i
AMBIGUAMENTE	a~ b i g u a m e~ tS i
AMBIGUIDADE	a~ b i g i d a dZ i
AMBIÇÃO	a~ b i s a~ w~
AMBIÊNCIA	a~ b i e~ s i a
AMBOS	a~ b u s
AMBROSIANO	a~ b r o z i a~ n u
AMBRÓSIA	a~ b r O s i a
AMBULACRÁRIO	a~ b u l a k r a r i u
AMBULANTE	a~ b u l a~ tS i
AMBULATIVO	a~ b u l a tS i v u
AMBULATÓRIO	a~ b u l a t O r i u
AMBULÂNCIA	a~ b u l a~ s i a
AMBÍGUO	a~ b i g u u
AMEALHAR	a m e a L a X
AMEAR	a m e a X
AMEAÇA	a m e a s a
AMEAÇADOR	a m e a s a d o X
AMEAÇANTE	a m e a s a~ tS i
AMEAÇAR	a m e a s a X
AMEBA	a m E b a
AMEDALHAR	a m e d a L a X
AMEDRONTADOR	a m e d r o~ t a d o X
AMEDRONTAR	a m e d r o~ t a X
AMEIA	a m ej a
AMEIGAR	a m e j g a X
AMEIJOADA	a m e j Z o a d a
AMEIJOAR	a m e j Z o a X
AMEIJOEIRA	a m e j Z o ej r a
AMEIXA	a m ej S a
AMEIXEIRA	a m e j S ej r a
AMEIXIAL	a m e j S i a w
AMEIXIEIRA	a m e j S i ej r a
AMEIXOAL	a m e j S o a w
AMEIXOEIRA	a m e j S o ej r a
AMELADO	a m e l a d u
AMELOADO	a m e l o a d u
AMEMBRANADO	a m e~ b r a n a d u
AMENDOADA	a m e~ d o a d a
AMENDOADO	a m e~ d o a d u
AMENDOAL	a m e~ d o a w
AMENDOEIRA	a m e~ d o ej r a
AMENDOIM	a m e~ d o i~
AMENINAR	a m e n i~ n a X
AMENIZAR	a m e n i z a X
AMENO	a m e~ n u
AMERICANA	a m e r i k a~ n a
AMERICANADA	a m e r i k a n a d a
AMERICANICE	a m e r i k a n i s i
AMERICANISMO	a m e r i k a n i z m u
AMERICANIZAR	a m e r i k a n i z a X
AMERICANO	a m e r i k a~ n u
AMERÍNDIO	a m e r i~ dZ i u
AMESQUINHAR	a m e s k i~ J a X
AMESTRAR	a m e s t r a X
AMIANTO	a m i a~ t u
AMIBA	a m i b a
AMICÍSSIMO	a m i s i s i~ m u
AMIDO	a m i d u
AMIEIRO	a m i ej r u
AMIGALHAÇO	a m i g a L a s u
AMIGALHOTE	a m i g a L O tS i
AMIGALHÃO	a m i g a L a~ w~
AMIGAR	a m i g a X
AMIGAÇO	a m i g a s u
AMIGDALAR	a m i g d a l a X
AMIGDALINA	a m i g d a l i~ n a
AMIGDALITE	a m i g d a l i tS i
AMIGO	a m i g u
AMIGÁVEL	a m i g a v e w
AMILOIDE	a m i l O j dZ i
AMIMAR	a m i~ m a X
AMIMIA	a m i~ m i a
AMINOÁCIDO	a m i~ n o a s i d u
AMISTOSO	a m i s t o z u
AMIUDAMENTE	a m i u d a m e~ tS i
AMIUDAR	a m i u d a X
AMIZADE	a m i z a dZ i
AMIÚDE	a m i u dZ i
AMNISTIA	a m n i s tS i a
AMNISTIAR	a m n i s tS i a X
AMNIÓTICO	a m n i O tS i k u
AMNÉSIA	a m n E s i a
AMO	a~ m u
AMOEDAR	a m o e d a X
AMOFINAR	a m o f i~ n a X
AMOFINATIVO	a m o f i~ n a tS i v u
AMOIRAR	a m o j r a X
AMOITAR	a m o j t a X
AMOJAR	a m o Z a X
AMOJO	a m o Z u
AMOJUDO	a m o Z u d u
AMOLADEIRA	a m o l a d ej r a
AMOLADOR	a m o l a d o X
AMOLADURA	a m o l a d u r a
AMOLAR	a m o l a X
AMOLDAR	a m o w d a X
AMOLECAR	a m o l e k a X
AMOLECER	a m o l e s e X
AMOLENGAR	a m o l e~ g a X
AMOLENTAR	a m o l e~ t a X
AMOLGADELA	a m o w g a d E l a
AMOLGADURA	a m o w g a d u r a
AMOLGAR	a m o w g a X
AMONIACAL	a m o n i a k a w
AMONITES	a m o n i tS i s
AMONTANHAR	a m o~ t a J a X
AMONTAR	a m o~ t a X
AMONTOADOR	a m o~ t o a d o X
AMONTOAR	a m o~ t o a X
AMONÍACO	a m o n i a k u
AMOR	a m o X
AMORA	a m O r a
AMORADO	a m o r a d u
AMORAL	a m o r a w
AMORALISMO	a m o r a l i z m u
AMORALIZAR	a m o r a l i z a X
AMORANGADO	a m o r a~ g a d u
AMORDAÇAR	a m o R d a s a X
AMOREIRA	a m o r ej r a
AMOREIRAL	a m o r e j r a w
AMORENAR	a m o r e n a X
AMORES	a m o r i s
AMORFIA	a m o X f i a
AMORFISMO	a m o X f i z m u
AMORFO	a m o X f u
AMORICOS	a m o r i k u s
AMORNAR	a m o R n a X
AMOROSO	a m o r o z u
AMORRINHAR	a m o R i~ J a X
AMORTALHAR	a m o X t a L a X
AMORTECEDOR	a m o X t e s e d o X
AMORTECER	a m o X t e s e X
AMORTIZAR	a m o X tS i z a X
AMORTIÇAR	a m o X tS i s a X
AMORUDO	a m o r u d u
AMORZEIRO	a m o R z ej r u
AMORÁVEL	a m o r a v e w
AMORÍFERO	a m o r i f e r u
AMOSSADELA	a m o s a d E l a
AMOSSAR	a m o s a X
AMOSTRA	a m O s t r a
AMOSTRAGEM	a m o s t r a Z e~j~
AMOSTRAL	a m o s t r a w
AMOSTRAR	a m o s t r a X
AMOTINADOR	a m o tS i~ n a d o X
AMOTINAR	a m o tS i~ n a X
AMOUCAR	a m ow k a X
AMOURAR	a m ow r a X
AMOURISCAR	a m ow r i s k a X
AMOVER	a m o v e X
AMOVIBILIDADE	a m o v i b i l i d a dZ i
AMPARAR	a~ p a r a X
AMPARO	a~ p a r u
AMPERE	a~ p E r i
